,License #,is_ADU_builder,ADU_performance_score,Bldg-New_count,Bldg-Alter/Repair_count,Bldg-Addition_count,2020_proj_count,2019_proj_count,2018_proj_count,2017_proj_count,2016_proj_count,2015_proj_count,2014_proj_count,2013_proj_count,2020_performance,2019_performance,2018_performance,2017_performance,2016_performance,2015_performance,2014_performance,2013_performance,2020_avg_numb_insp,2019_avg_numb_insp,2018_avg_numb_insp,2017_avg_numb_insp,2016_avg_numb_insp,2015_avg_numb_insp,2014_avg_numb_insp,2013_avg_numb_insp,numb_revs,rate,Home Additions,New Constructions,Garage Constructions,< $5k,$5k-$20k,$20k-$50k,$50k-$100k,$250k-$500k,experience,non_ADU_proj_count,non_ADU_avg_insp,w_avg_time_per_insp,avg_construction_time,non_ADU_avg_time_per_insp,ADU_proj_count,non_ADU_avg_eval,BusinessType,BusinessName,Address,City,State,ZIP Code,County,PhoneNumber,IssueDate,ExpirationDate,Classification(s),Status,SuretyCompany,ContractorBondNumber,BondEffectiveDate,BondCancellationDate,WorkersCompCoverageType,WorkersCompInsuranceCompany,WorkersCompPolicyNumber,EffectiveDate,ExpirationDate1,CancellationDate,WorkersCompSuspendDate
0,1022172.0,True,27.855539464156408,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,20.975925925925925,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,17.0,5.0,9.0,0.0,0.0,17.0,29.0,5.0,0.0,0.0,797.0,2.0,6.5,16.252164146394918,102.0,16.26388888888889,2.0,16000.0,Corporation,FIDELITY BUILDERS & DESIGN INC,617 S OLIVE ST STE 1007,LOS ANGELES,CA,90014.0,Los Angeles,(415) 867 6181,12/29/2016,12/31/2020,B,CLEAR,OLD REPUBLIC SURETY COMPANY,W150274549,12/19/2016,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9270402,02/13/2020,02/13/2021,,
1,734381.0,True,17.01017840500599,7.0,3.0,4.0,0.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,0.0,25.0,11.5,22.74355784355784,27.08,26.942460317460316,39.16666666666667,24.1,0.0,12.0,14.0,30.0,25.0,14.0,14.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2627.0,12.0,15.25,25.73973502251946,411.0833333333333,27.680079365079365,2.0,371469.3333333333,Corporation,MARMOL RADZINER AN ARCHITECTURAL CORPORATION,12210 NEBRASKA AVENUE,LOS ANGELES,CA,90025.0,Los Angeles,(310) 826 6222,04/01/1997,04/30/2021,B| C47| C17| C53,CLEAR,GREAT AMERICAN INSURANCE COMPANY,FS8017655,01/01/2016,,Workers' Compensation Insurance,REDWOOD FIRE AND CASUALTY INSURANCE CO,MAWC127614,01/01/2020,01/01/2021,,
2,851344.0,True,18.253231785687728,0.0,9.0,9.0,0.0,5.0,2.0,4.0,2.0,1.0,2.0,2.0,0.0,13.228907563025212,35.361111111111114,16.638675213675214,13.477272727272727,39.6,12.965277777777779,33.125,0.0,14.6,7.5,9.25,7.5,5.0,8.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2519.0,12.0,7.25,16.74802203241658,125.83333333333333,19.524150155400154,6.0,21100.0,Corporation,YOUR FAVORITE CONTRACTOR INC,18375 VENTURA BLVD #402,TARZANA,CA,91356.0,Los Angeles,(818) 294 7047,12/16/2004,12/31/2020,B,CLEAR,STATE NATIONAL INSURANCE COMPANY INC,SSI09039,12/26/2018,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9159905,05/26/2016,05/26/2021,,
3,1035397.0,True,8.24,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.25,8.24,34.2,0.0,0.0,0.0,0.0,0.0,4.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,2.0,4.5,28.776546337344314,134.0,29.225,1.0,34250.0,Corporation,WHITESTONE BUILDERS INC,145 S FAIRFAX AVE #200,LOS ANGELES,CA,90036.0,Los Angeles,(213) 268 1280,01/30/2018,01/31/2022,B,CLEAR,SURETEC INDEMNITY COMPANY,138212,01/10/2018,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9235073,07/17/2019,07/17/2020,,
4,1024554.0,True,18.333333333333332,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.8,18.0,18.333333333333332,26.6,0.0,0.0,0.0,0.0,5.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0,0.0,0.0,2.0,11.0,10.0,0.0,0.0,1030.0,3.0,4.666666666666667,17.39825417961237,86.33333333333333,18.46666666666667,1.0,40167.0,Corporation,AMERBUILD INC,22108 VANOWEN STREET,WOODLAND HILLS,CA,91303.0,Los Angeles,(818) 705 5555,03/10/2017,03/31/2021,B,CLEAR,HUDSON INSURANCE COMPANY,30017279,02/14/2017,,License does not have current W/C,STATE COMPENSATION INSURANCE FUND,9206168,01/28/2018,01/28/2021,,
5,875130.0,True,10.270791421522109,0.0,10.0,4.0,0.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,18.36931818181818,15.775,26.583333333333332,25.75,48.55555555555556,0.0,28.53846153846154,0.0,8.25,9.0,4.333333333333333,4.0,9.0,0.0,13.0,1.0,5.0,7.0,0.0,0.0,8.0,18.0,9.0,0.0,1.0,2535.0,11.0,6.181818181818182,24.796164410984723,170.1818181818182,26.26763791763792,3.0,30933.272727272728,Corporation,KARMA REMODEL & DEVELOPMENT INC,21610 VENTURA BLVD,WOODLAND HILLS,CA,91364.0,Los Angeles,(818) 837 0478,03/28/2006,03/31/2022,B,CLEAR,HUDSON INSURANCE COMPANY,30010601,03/13/2016,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9211810,06/03/2019,06/03/2021,,
6,835794.0,True,12.833333333333334,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.833333333333334,22.466666666666665,0.0,0.0,37.54545454545455,0.0,0.0,0.0,12.0,15.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1835.0,2.0,13.0,27.065162260906938,375.0,30.006060606060608,1.0,120000.0,Corporation,4 CORNERS REMODELING INC,7045 CANOGA AVENUE,CANOGA PARK,CA,91303.0,Los Angeles,(818) 710 3960,04/12/2004,04/30/2022,B| C15,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,205518,01/01/2016,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,1793930,07/01/2016,07/01/2020,,
7,538538.0,True,15.251354529143107,0.0,26.0,10.0,0.0,3.0,6.0,8.0,6.0,6.0,4.0,3.0,0.0,21.375,20.166645622895626,29.44265422077922,22.82004662004662,23.526556776556777,15.845833333333331,15.285714285714286,0.0,5.333333333333333,16.333333333333332,6.375,9.5,7.0,5.25,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2578.0,32.0,7.53125,25.137266767982776,169.9375,23.450527684121433,4.0,30576.3125,Corporation,H A S CONSTRUCTION INC,11272 WASHINGTON PL,CULVER CITY,CA,90230.0,Los Angeles,(310) 391 8434,08/18/1988,10/31/2020,B,CLEAR,BUSINESS ALLIANCE INSURANCE COMPANY,G60810247716,08/09/2016,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9223750,01/01/2018,01/01/2021,,
8,993435.0,True,17.0,0.0,6.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,23.205000000000002,0.0,17.0,0.0,0.0,16.25,0.0,0.0,7.4,0.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2077.0,6.0,8.166666666666666,22.885779007296925,180.83333333333334,22.045833333333334,1.0,50424.666666666664,Corporation,CASA BONITA BUILDERS INC,1866 E CALAVERAS ST,ALTADENA,CA,91001.0,Los Angeles,(626) 375 9899,06/06/2014,06/30/2022,B,CLEAR,WESCO INSURANCE COMPANY,04WB049439,01/01/2016,06/05/2020,Workers' Compensation Insurance,NORGUARD INSURANCE COMPANY,CAWC004759,10/15/2019,10/15/2020,,
9,1030887.0,True,44.42857142857143,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,28.521978021978022,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,3.0,0.0,2.0,7.0,0.0,0.0,0.0,446.0,2.0,9.0,10.827192710593192,105.0,10.907692307692308,1.0,28500.0,Corporation,TRIG BUILDERS INC,6442 COLDWATER CANYON AVE 111,NORTH HOLLYWOOD,CA,91606.0,Los Angeles,(818) 260 7026,09/11/2017,09/30/2021,B,CLEAR,WESTERN SURETY COMPANY,64784503,09/05/2019,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9219936,10/17/2017,10/17/2020,,
