,permit_ID,section,date,status,inspector
0,19016-20000-02431,Footing/Foundation/Slab,6/24/2019,Approved,EMIL OPFFER
1,19016-20000-02431,BUILDING-Rough-Frame,7/5/2019,Corrections Issued,EMIL OPFFER
2,19016-20000-02431,Green Building Rough,7/5/2019,Not Ready for Inspection,EMIL OPFFER
3,19016-20000-02431,MERV13>=Rough,7/5/2019,Approved,EMIL OPFFER
4,19016-20000-02431,Floor/Roof Diaphrgm/Shear Wall,7/9/2019,Not Ready for Inspection,EMIL OPFFER
5,19016-20000-02431,Floor/Roof Diaphrgm/Shear Wall,7/16/2019,Corrections Issued,EMIL OPFFER
6,19016-20000-02431,Floor/Roof Diaphrgm/Shear Wall,7/22/2019,Approved,EMIL OPFFER
7,19016-20000-02431,Drywall Nailing,7/24/2019,Corrections Issued,EMIL OPFFER
8,19016-20000-02431,Drywall Nailing,7/29/2019,Approved,ROBERT GOLD
9,19016-20000-02431,Interior/Exterior Lathing,7/29/2019,Corrections Issued,ROBERT GOLD
10,19016-20000-02431,Interior/Exterior Lathing,7/31/2019,Approved,EMIL OPFFER
11,19016-20000-02431,BUILDING-Rough-Frame,8/5/2019,Conditional Approval,EMIL OPFFER
12,19016-20000-02431,Final,8/5/2019,Not Ready for Inspection,EMIL OPFFER
13,19016-20000-02431,Green Building Final,8/5/2019,Not Ready for Inspection,EMIL OPFFER
14,19016-20000-02431,Green Building Rough,8/5/2019,Not Ready for Inspection,EMIL OPFFER
15,19016-20000-02431,MERV13>=Final,8/5/2019,Not Ready for Inspection,EMIL OPFFER
16,19016-20000-02431,SGSOV-Seismic Gas S/O Valve,8/5/2019,SGSOV Not Ready,EMIL OPFFER
17,19016-20000-02431,Smoke Detectors,8/5/2019,Not Ready for Inspection,EMIL OPFFER
18,19016-20000-02431,BUILDING-Rough-Frame,3/6/2020,Approved,EMIL OPFFER
19,19016-20000-02431,Final,3/6/2020,Conditional Approval,EMIL OPFFER
20,19016-20000-02431,Green Building Final,3/6/2020,Approved,EMIL OPFFER
21,19016-20000-02431,Green Building Rough,3/6/2020,Approved,EMIL OPFFER
22,19016-20000-02431,MERV13>=Final,3/6/2020,Approved,EMIL OPFFER
23,19016-20000-02431,SGSOV-Seismic Gas S/O Valve,3/6/2020,SGSOV Approved,EMIL OPFFER
24,19016-20000-02431,Smoke Detectors,3/6/2020,Approved,EMIL OPFFER
25,20016-10000-03858,ELECTRICAL-Rough,3/5/2020,Approved,VINCENT HANLEY
