,License #,Status,Insurer,Insured up to,Bonded Agent,Bonded Value,Workers Comp Value,Workers Comp,numb_permits,numb_revs,rate,2020,2019,2018,2017,2016,Home Additions,New Constructions,Kitchen remodels,Garage Constructions,< $5k,$5k-$20k,$20k-$50k,$50k-$100k,$100k-$250k,$250k-$500k,$500k-$1mil
0,1034170,Active,,,American Contractors Indemnity Company,,,,,1,4.0,5 projects,,,,,,,,,1 project,,2 projects,,,,
1,926436,Active,,,American Contractors Indemnity Company,,,,1.1K,0,-1.0,12 projects,38 projects,94 projects,64 projects,,7 projects,5 projects,19 projects,,36 projects,4 projects,5 projects,3 projects,12 projects,2 projects,6 projects
2,708010,Active,,,American Contractors Indemnity Company,,,,858,0,-1.0,5 projects,28 projects,34 projects,74 projects,,17 projects,13 projects,17 projects,,18 projects,21 projects,4 projects,7 projects,11 projects,3 projects,3 projects
3,801955,Active,,,Rli Insurance Company,,,,626,4,5.0,32 projects,91 projects,89 projects,114 projects,,12 projects,90 projects,10 projects,,50 projects,22 projects,13 projects,4 projects,11 projects,51 projects,10 projects
4,416079,Active,,,Suretec Indemnity Company,,,,259,1,5.0,1 project,8 projects,22 projects,29 projects,,6 projects,,12 projects,,9 projects,5 projects,3 projects,3 projects,2 projects,,
5,1038287,Active,,,American Contractors Indemnity Company,,,,20,3,5.0,10 projects,9 projects,1 project,,,,,5 projects,,3 projects,5 projects,,,,,
6,1020657,Active,,,Wesco Insurance Company,,,,9,14,5.0,1 project,4 projects,3 projects,1 project,,,,,,,5 projects,1 project,,,,
7,1033834,Active,,,Wesco Insurance Company,,,,52,0,-1.0,2 projects,31 projects,19 projects,,,6 projects,,12 projects,,1 project,20 projects,8 projects,1 project,1 project,,
8,996391,Active,,,Wesco Insurance Company,,,,202,0,-1.0,4 projects,34 projects,51 projects,32 projects,,,,26 projects,,13 projects,46 projects,1 project,4 projects,,,
9,850831,Active,,,Western Surety Company,,,,927,0,-1.0,8 projects,67 projects,57 projects,109 projects,,5 projects,5 projects,50 projects,,34 projects,39 projects,10 projects,1 project,,1 project,
10,1033036,Active,,,Hudson Insurance Company,,,,14,13,5.0,8 projects,5 projects,1 project,,,,,3 projects,,1 project,1 project,1 project,1 project,,,
11,946871,Active,,,Hudson Insurance Company,,,,32,0,-1.0,6 projects,12 projects,5 projects,3 projects,,,,,,4 projects,9 projects,2 projects,,,,
12,922163,Active,,,Suretec Indemnity Company,,,,211,0,-1.0,1 project,4 projects,39 projects,3 projects,,3 projects,12 projects,,,10 projects,4 projects,1 project,2 projects,1 project,,
13,884094,Active,,,Suretec Indemnity Company,,,,98,1,5.0,3 projects,20 projects,13 projects,9 projects,,,,,,2 projects,2 projects,,,1 project,,
14,732107,Active,,,Travelers Casualty & Surety Company Of America,,,,2K,0,-1.0,69 projects,127 projects,167 projects,221 projects,,52 projects,8 projects,15 projects,,47 projects,18 projects,20 projects,46 projects,60 projects,32 projects,38 projects
15,1020382,Active,,,American Contractors Indemnity Company,,,,284,0,-1.0,107 projects,132 projects,44 projects,1 project,,,,,,26 projects,9 projects,72 projects,45 projects,14 projects,3 projects,
16,1019003,Active,,,Wesco Insurance Company,,,,29,8,5.0,2 projects,7 projects,16 projects,4 projects,,6 projects,,,,2 projects,11 projects,3 projects,3 projects,,,
17,736155,Active,,,Accredited Surety & Casualty Company Inc,,,,43,3,5.0,,,1 project,25 projects,,,,3 projects,,,,1 project,2 projects,3 projects,,
18,580175,Active,,,Suretec Indemnity Company,,,,98,1,5.0,19 projects,47 projects,12 projects,6 projects,,,13 projects,,,5 projects,2 projects,1 project,7 projects,5 projects,3 projects,7 projects
19,1036946,Active,Markel Insurance Company,,American Contractors Indemnity Company,,,,18,0,-1.0,4 projects,7 projects,7 projects,,,,,,,2 projects,5 projects,1 project,1 project,1 project,,
