,permit_ID,section,date,status,inspector
0,18014-20000-07002,Excavation/Setback/Form/Re-Bar,1/24/2019,Not Ready for Inspection,WILLIAM ROSE
1,18014-20000-07002,Underground Mechanical,1/29/2019,Partial Approval,DAVID FEILER
2,18014-20000-07002,Footing/Foundation/Slab,1/31/2019,Approved,DAVID FEILER
3,18014-20000-07002,Floor/Roof Diaphrgm/Shear Wall,2/11/2019,Not Ready for Inspection,DAVID FEILER
4,18014-20000-07002,Floor/Roof Diaphrgm/Shear Wall,3/1/2019,Partial Approval,DAVID FEILER
5,18014-20000-07002,BUILDING-Rough-Frame,3/12/2019,Corrections Issued,DAVID FEILER
6,18014-20000-07002,ELECTRICAL-Rough,3/12/2019,Corrections Issued,DAVID FEILER
7,18014-20000-07002,Floor/Roof Diaphrgm/Shear Wall,3/12/2019,Partial Approval,DAVID FEILER
8,18014-20000-07002,PLUMBING-Rough,3/12/2019,Corrections Issued,DAVID FEILER
9,18014-20000-07002,BUILDING-Rough-Frame,3/19/2019,Conditional Approval,DAVID FEILER
10,18014-20000-07002,ELECTRICAL-Rough,3/19/2019,Approved,DAVID FEILER
11,18014-20000-07002,Green Building Rough,3/19/2019,Approved,DAVID FEILER
12,18014-20000-07002,HVAC-Rough,3/19/2019,Approved,DAVID FEILER
13,18014-20000-07002,Interior/Exterior Lathing,3/19/2019,Not Ready for Inspection,DAVID FEILER
14,18014-20000-07002,PLUMBING-Rough,3/19/2019,Partial Approval,DAVID FEILER
15,18014-20000-07002,Insulation,3/22/2019,Corrections Issued,WILLIAM ROSE
16,18014-20000-07002,Insulation,3/28/2019,Corrections Issued,DAVID FEILER
17,18014-20000-07002,PLUMBING-Rough,3/28/2019,Approved,DAVID FEILER
18,18014-20000-07002,BUILDING-Rough-Frame,4/4/2019,Approved,WILLIAM ROSE
19,18014-20000-07002,Insulation,4/4/2019,Approved,WILLIAM ROSE
20,18014-20000-07002,Drywall Nailing,4/9/2019,Approved,JOHN KLARIN
21,18014-20000-07002,Interior/Exterior Lathing,4/9/2019,Corrections Issued,JOHN KLARIN
22,18014-20000-07002,Interior/Exterior Lathing,4/12/2019,Approved,JOHN KLARIN
23,18014-20000-07002,Final,8/12/2019,Corrections Issued,WILLIAM ROSE
24,18014-20000-07002,Green Building Final,8/12/2019,Approved,WILLIAM ROSE
25,18014-20000-07002,SGSOV-Seismic Gas S/O Valve,8/12/2019,SGSOV Not Ready,WILLIAM ROSE
26,18014-20000-07002,Smoke Detectors,8/12/2019,Approved,WILLIAM ROSE
27,18014-20000-07002,Final,8/15/2019,Not Ready for Inspection,JOHN KLARIN
28,18014-20000-07002,SGSOV-Seismic Gas S/O Valve,8/15/2019,SGSOV Not Ready,JOHN KLARIN
29,18014-20000-07002,Final,8/22/2019,Corrections Issued,WILLIAM ROSE
30,18014-20000-07002,SGSOV-Seismic Gas S/O Valve,8/22/2019,SGSOV Approved,WILLIAM ROSE
31,18014-20000-07002,Final,8/29/2019,Partial Approval,WILLIAM ROSE
32,18014-20000-07002,Final,9/10/2019,OK to Issue CofO,WILLIAM ROSE
33,19016-20000-10124,Deputy Other (see comments),7/26/2019,Conditional Approval,THOMAS FINNILA
34,19016-20000-10124,Deputy Reinf. Concrete,7/26/2019,Conditional Approval,THOMAS FINNILA
35,19016-20000-10124,Footing/Foundation/Slab,7/30/2019,Corrections Issued,CHRISTOPHE COCHRAN
36,19016-20000-10124,Footing/Foundation/Slab,8/1/2019,Approved,CHRISTOPHE COCHRAN
37,19016-20000-10124,ELECTRICAL-Rough,8/27/2019,Not Ready for Inspection,CHRISTOPHE COCHRAN
