,permit_ID,full_description
0,17016-70000-24314,CONVERT DUPLEX INTO SINGLE FAMILY DWELLING AND INTERIOR AND EXTERIOR REMODEL.
1,14016-30001-14165,"Supplemental to correct description of  work to""Convert 5' x 17' workshop to half bathroom/laundry area."".(See comments)."
2,15020-10000-02261,INSTALL ATION OF A PREFABRICATED OUTDOOR PIZZA OVEN AS AN ACCESSORY USE TO THE SINGLE FAMILY DWELLING.
3,17016-30000-03957,Convert an (E) covered enclosed porch to a new master bath. interior remodel only
4,12014-30000-04403,"CONVERT 188 SF OF CARPORT TO GARAGE AND 100 SF ADDITION TO GARAGE, FOR NEW TOTAL GARAGE AREA OF 288 SF.  REMOVE EXISTING REC ROOM."
5,14043-10000-01357,13-D system for a a one story accessory building to a single family dwelling. Building shares a 1 inch water meter with the existing house. Max spacing 16x16.
6,13016-20000-17951,"INTERIOR REMODEL: Enlarge master bath, add master closet, convert (e) bath to powder and a 3/4 bath, convert (e) closet to laundry, kitchen remodel, level the family room w/ conc.  and add recess lights."
7,13016-20000-12410,convert (e) second story closet into a 3/4 bathroom.
8,15016-20000-13649,"Demo 2 walls @ kitchen, close one window instal beam and underpin for 2 new pads."
9,18043-10000-00161,NFPA 13D SYSTEM FOR ACCESSORY BUILDING FOR (10) HEADS. 1 IN. METER.
10,17016-20000-01187,"CONVERT (E) 31'-2"" X 20'-2"" GARAGE TO (2) BEDROOMS AND (1) FULL BATHROOM. REQUIRED PARKING PER PERMIT 17010-20000-00184. ALL WORK PER WFPP.  (SEE COMMENTS)"
11,17016-20000-09930,CONVERT THE (E) CLOSET INTO A (N) BATHROOM.
12,18019-20000-01376,DEMO (E) SFD DETACHED GARAGE AND ACCESSORY DETACHED BUILDINGS & CLEAR LOT. Sewer cap required. Pedestrian protection fence required.
13,14016-20000-23414,"CONVERT (E) 21'-3""x 22' CARPORT INTO A GARAGE AND INTERIOR REMODEL TO REMOVE BEARING WALLS TO ENLARGE AND REMODEL (E) KITCHEN, CREATE NEW PANTRY SPACE AND ADD NEW BATHROOM AT FAMILY ROOM PER ENGINEERING."
14,13014-20000-03106,"ADD 15'X 23'2"", 2 BEDROOMS AND CONVERT (E) BEDROOM TO PLAY AREA."
15,14016-10000-01979,"INTERIOR REMODEL TO CONVERT A CLOSET INTO A BATHROOM AND REMODEL AN EXISTING BATHROOM ON THE LOWER LEVEL , ALL WORK PER WFPP."
16,13014-20000-05056,"convert portion of patio cover to enlarge one bathroom,add a lundry room,remodel kitchen.Convert (e) family room into a bedroom."
17,17010-20000-02692,NEW ACCESSORY LIVING QUARTERS PER WFPP
18,14019-10000-02342,"PROPOSED DEMOLISH (E) SFD, CABANA, AND ACCESSORY LIVING QUARTER; SEWER CAP REQUIRED, PROTECTION FENCE REQUIRED. HAND WRECK AND DOZER METHOD. TENNIS COURT TO BE REMAINED."
19,16016-20000-17540,CONVERT (E) BEDROOMS TO EXPAND (E) DINING ROOM AND TO CREATE 2 (N) BATHROOMS. CONVERT (E) LIVING ROOM TO A BEDROOM. CONVERT (E) BATHROOM TO A WALKIN CLOSET. ALL WORK PER ENGINEERING.
