,permit_ID,full_description
0,13016-20000-08899,"INTERIOR ALTERATION TO (E) SFD: CONVERT (E) STROAGE RM AND PORTION OF HALLWAY TO A NEW BATH RM; (E) BATH RM REMODEL, AND KITCHEN REMODEL; NON-BEARING PARTITIONS PER WFPP."
1,13014-20000-04142,"1ST & 2ND FLOOR ADD TO (E) GAME ROOM, & CONVERT TO ACCESSORY LIVING QUARTERS"
2,17010-10000-01491,"NEW 11'x18'ACCESSORY DWELLING UNIT PER AB2299 AND SB1069 AT REAR PER WFPP METHOD. (N) 18'x8'6"" standard parking at front of lot.  See comments. COMPLY WITH DEPARTMENT ORDER effective date 04/26/2017. PERMIT WILL EXPIRE 30 DAYS FROM ISSUANCE DATE"
3,13014-10000-02233,"NEW ADDITION PER WFPP,  AND CONVERT (E) DINING ROOM TO BEDROOM."
4,16016-20000-01388,"REMOVE INTERIOR WALL AT THE KITCHEN AND REMODEL KITCHEN, CONVERT PORTION OF KITCHEN TO LAUNDRY ROOM;  REPLACE EXTERIOR STAIRS (SAME LOCATION AS EXISTING)"
5,13016-10000-20763,CONVERT CLOSET TO FULL BATHROOM. REPLACE (E) WINDOW W/ TEMPERED WINDOW
6,18016-20000-03162,CONVERT THE EXISTING 18' X 18' GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229.
7,16016-20000-29480,"CONVERT (E) 18'-0"" X 19'-8"" DETACHED 2-CAR CARPORT INTO GARAGE, ADD 4'-8"" X 13'-3"" AND 3'-7"" X 18'-11"" TO EXTEND THE GARAGE. ALL WORK PER ENGINEERING. COMPLY WITH DEPARTMENT ORDER EFFECTIVE DATE 11/12/08. PERMIT WILL EXPIRE 30 DAYS FROM ISSUANCE DATE."
8,13030-10000-07492,"GRADING FOR (N) POOL, RETAINING WALL AND ACCESSORY STRUCTURES"
9,13016-20000-21572,"CONVERT (E) 14'X7' PATIO AT REAR TO ENLARGE DINING ROOM.  NORTH WINDOWS REAR OF HOME BEING REPLACED AND ENLARGED, 5 TOTAL. REMOVE AND REPLACE TWO WINDOWS SOUTH END NO CHANGE IN WIDTH; REMODEL OF 5 BATHROOMS; REMOVAL OF NON-STRUCTURAL PARTITION WALLS TO REVISE FLOOR PLAN."
10,17016-10000-20678,CONVERT REAR PORTION OF EXISTING SINGLE FAMILY DWELLING TO ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069. UPGRADE WHOLE FOUNDATION FOR EARTHQUAKE RETROFIT PER ENGINEER DETAIL.
11,18014-20000-00339,CONVERT ATTACHED GARAGE TO  ACCESSORY DWELLING UNIT PER AB494 AND SB229. ALL WORKS ARE PER ENGINEERING.
12,16014-10000-02629,Convert existing 400sf garage to Recreation Room and add 400sf aluminum carport (Standard Plan #112).
13,17030-20000-00905,GRADING; REMOVAL AND RECOMPACTION FOR NEW DWELLING AND ACCESSORY STRUCTURE.
14,15016-10000-23106,"REHABILITATION OF AN EXISTING CARRIAGE HOUSE AND CONVERT IT TO A  RECREATION ROOM WITH HALF BATHROOM, NO NEW FLOOR AREA"
15,17042-10000-13549,SEWAGE EJECTOR SYSTEM SERVING ACCESSORY DWELLING UNIT.
16,17016-10000-26370,CONVERT PORTION OF EXISTING 3-CAR GARAGE 34'X20' TO AN ACCESSORY DWELLING UNIT ( 22'X20') PER A.B. 2299 AND S.B. 1069.  EXISTING ATTACHED 1-CAR GARAGE ( 12' X 20') TO REMAIN.  2 OPEN PARKING ON SITE.
