,License #,Status,Insurer,Insured up to,Bonded Agent,Bonded Value,Workers Comp Value,Workers Comp,numb_permits,numb_revs,rate,2020,2019,2018,2017,2016,Home Additions,New Constructions,Kitchen remodels,Garage Constructions,< $5k,$5k-$20k,$20k-$50k,$50k-$100k,$100k-$250k,$250k-$500k,$500k-$1mil
0,575147,Active,,,Travelers Casualty & Surety Company Of America,,,,725,0,-1.0,32 projects,192 projects,96 projects,96 projects,,7 projects,84 projects,,,112 projects,50 projects,27 projects,2 projects,1 project,12 projects,26 projects
1,398659,Active,AIX Specialty Insurance Company,"$2,000,000",Navigators Insurance Company,,,,179,3,5.0,2 projects,88 projects,26 projects,8 projects,,28 projects,4 projects,4 projects,,25 projects,5 projects,15 projects,3 projects,4 projects,9 projects,1 project
2,1021444,Active,,,Accredited Surety & Casualty Company Inc,,,,101,19,5.0,4 projects,45 projects,35 projects,7 projects,,7 projects,,11 projects,,9 projects,27 projects,6 projects,,,,
3,547455,Active,Flinders Insurance Agency Inc.,"$2,000,000",Suretec Indemnity Company,,,,134,1,5.0,4 projects,16 projects,14 projects,25 projects,,,,4 projects,,18 projects,8 projects,1 project,1 project,4 projects,,
4,978086,Active,,,American Contractors Indemnity Company,,,,350,7,5.0,8 projects,137 projects,60 projects,50 projects,,27 projects,,32 projects,,45 projects,61 projects,20 projects,,,1 project,
5,824450,Active,,,American Contractors Indemnity Company,,,,1.1K,36,5.0,41 projects,121 projects,126 projects,72 projects,,14 projects,,41 projects,,33 projects,69 projects,7 projects,2 projects,5 projects,,
6,773147,Active,Scottsdale Insurance Company,"$1,000,000",American Contractors Indemnity Company,,"$1,000,000",,3.1K,14,5.0,79 projects,160 projects,236 projects,388 projects,,49 projects,3 projects,203 projects,,112 projects,280 projects,62 projects,12 projects,4 projects,,
7,998940,Active,Scottsdale Insurance Company,"$2,000,000",Hudson Insurance Company,,"$1,000,000",,394,0,-1.0,34 projects,57 projects,81 projects,98 projects,,,,,,6 projects,15 projects,3 projects,1 project,,,
8,617148,Active,,,Hudson Insurance Company,,,,2.8K,53,5.0,61 projects,320 projects,467 projects,515 projects,,128 projects,18 projects,294 projects,,162 projects,384 projects,109 projects,28 projects,7 projects,4 projects,1 project
9,915630,Active,,,Western Surety Company,,,,211,12,5.0,6 projects,5 projects,6 projects,35 projects,,,,5 projects,,2 projects,16 projects,2 projects,,,,
10,1016401,Active,,,Wesco Insurance Company,,,,47,3,4.0,10 projects,19 projects,9 projects,6 projects,,5 projects,,7 projects,,8 projects,11 projects,2 projects,,1 project,,
11,956007,Active,,,American Contractors Indemnity Company,,,,56,18,5.0,,,3 projects,6 projects,,5 projects,,5 projects,,,4 projects,2 projects,,,,
12,607619,Active,,,Western National Mutual Insurance Company,,,,218,0,-1.0,8 projects,28 projects,59 projects,71 projects,,8 projects,,22 projects,,19 projects,37 projects,7 projects,1 project,,,
13,989654,Active,,,American Contractors Indemnity Company,,,,54,2,5.0,1 project,2 projects,11 projects,17 projects,,3 projects,,4 projects,,2 projects,6 projects,2 projects,,,,
14,860365,Active,,,Hudson Insurance Company,,,,183,3,5.0,3 projects,13 projects,18 projects,26 projects,,6 projects,4 projects,8 projects,,4 projects,11 projects,13 projects,,,,
15,1022172,Active,,,Old Republic Surety Company,,,,129,17,5.0,17 projects,21 projects,39 projects,47 projects,,9 projects,,16 projects,,17 projects,29 projects,5 projects,,,,
16,1031989,Active,,,Western Surety Company,,,,243,4,5.0,55 projects,91 projects,24 projects,23 projects,,,,,,2 projects,,,,,,
17,1003213,Active,,,Suretec Indemnity Company,,,,469,4,5.0,32 projects,75 projects,93 projects,128 projects,,21 projects,,16 projects,,72 projects,82 projects,7 projects,,4 projects,,
18,974337,Active,,,Wesco Insurance Company,,,,178,4,5.0,2 projects,27 projects,13 projects,35 projects,,,,22 projects,,3 projects,22 projects,3 projects,6 projects,8 projects,,
19,1040768,Active,Great Insurance Services,"$2,000,000",Suretec Indemnity Company,,,,43,12,5.0,23 projects,18 projects,2 projects,,,,,9 projects,,6 projects,8 projects,2 projects,,,,
20,1030887,Active,,,American Contractors Indemnity Company,,,,42,22,5.0,19 projects,23 projects,,,,,3 projects,5 projects,,2 projects,7 projects,,,,,
21,1050219,Active,,,American Contractors Indemnity Company,,,,25,1,5.0,8 projects,17 projects,,,,,,,,2 projects,1 project,,,1 project,,
22,877780,Active,,,Wesco Insurance Company,,,,702,4,5.0,5 projects,118 projects,154 projects,173 projects,,24 projects,6 projects,42 projects,,214 projects,38 projects,25 projects,5 projects,5 projects,,
23,990316,Active,,,Wesco Insurance Company,,,,133,5,5.0,2 projects,16 projects,23 projects,52 projects,,,,37 projects,,4 projects,27 projects,21 projects,,,,
24,1033831,Active,,,Suretec Indemnity Company,,,,21,23,5.0,5 projects,6 projects,10 projects,,,,,3 projects,,1 project,4 projects,2 projects,,,,
25,407474,Active,Syndicate 1991 at Lloyd's of London,,Wesco Insurance Company,,,,10,16,5.0,3 projects,6 projects,1 project,,,,,,,1 project,6 projects,,,,,
26,1016942,Active,,,Western Surety Company,,,,142,17,5.0,19 projects,59 projects,33 projects,30 projects,,8 projects,4 projects,30 projects,,14 projects,34 projects,17 projects,,1 project,,
27,992179,Active,,,Suretec Indemnity Company,,,,91,1,5.0,2 projects,66 projects,17 projects,,,,,10 projects,,17 projects,14 projects,6 projects,,,,
28,870657,Active,,,Wesco Insurance Company,,,,302,2,5.0,6 projects,59 projects,84 projects,62 projects,,5 projects,6 projects,80 projects,,14 projects,18 projects,40 projects,4 projects,,,
29,985124,Active,,,Hudson Insurance Company,,,,475,11,5.0,20 projects,33 projects,98 projects,116 projects,,3 projects,,77 projects,,25 projects,82 projects,8 projects,1 project,2 projects,,
30,1055279,Active,TMJ INSURANCE AGENCY INC,"$1,000,000",WESTERN SURETY COMPANY,,,,,0,-1.0,,2 projects,,,,,,,,,1 project,,,,,
31,1024554,Active,,,Hudson Insurance Company,,,,46,0,-1.0,3 projects,11 projects,14 projects,18 projects,,5 projects,,10 projects,,2 projects,11 projects,10 projects,,2 projects,,
32,961316,Active,"Preferred Contractors Insurance Co, Inc","$2,000,000",Hudson Insurance Company,,"$1,000,000",,110,0,-1.0,6 projects,5 projects,21 projects,32 projects,,,,7 projects,,12 projects,8 projects,1 project,2 projects,2 projects,,
33,4984,Active,State Compensation Insurance Fund,,Wesco Insurance Company,,,,265,0,-1.0,5 projects,22 projects,62 projects,59 projects,,,,,,11 projects,10 projects,,,,,
34,330423,Active,Legion General Insurance Service Inc.,"$6,105,000",Wesco Insurance Company,,"$1,000,000",,59,2,5.0,,5 projects,13 projects,,,,,,,,1 project,,1 project,,1 project,
35,887210,Active,,,Wesco Insurance Company,,,,181,1,5.0,,14 projects,122 projects,24 projects,,,,6 projects,,21 projects,13 projects,4 projects,4 projects,,,
36,1051859,Active,Associated Industry Insurance Company Inc.,"$2,000,000",WESCO Insurance Company,,"$1,000,000",,26,7,5.0,7 projects,19 projects,,,,,4 projects,3 projects,,2 projects,3 projects,2 projects,,,,
37,901842,Active,,,American Contractors Indemnity Company,,,,423,0,-1.0,15 projects,56 projects,61 projects,125 projects,,16 projects,,49 projects,,28 projects,57 projects,19 projects,3 projects,4 projects,,
38,635179,Active,,,American Contractors Indemnity Company,,,,671,0,-1.0,3 projects,55 projects,73 projects,37 projects,,3 projects,14 projects,60 projects,,10 projects,34 projects,25 projects,12 projects,10 projects,,
39,1036052,Active,,,Hudson Insurance Company,,,,48,36,5.0,13 projects,22 projects,13 projects,,,4 projects,,15 projects,,,18 projects,5 projects,,,,
40,942085,Active,,,Suretec Indemnity Company,,,,51,30,5.0,8 projects,21 projects,1 project,,,,,3 projects,,,1 project,,,1 project,,
41,1034806,Active,,,Wesco Insurance Company,,,,78,0,-1.0,11 projects,63 projects,4 projects,,,3 projects,,33 projects,,11 projects,40 projects,10 projects,1 project,,,
42,1059278,Active,"Associated Industries Insurance Company, Inc","$1,000,000",Navigators Insurance Company,,"$1,000,000",,15,29,5.0,12 projects,3 projects,,,,,,,,2 projects,2 projects,,,,,
43,1034530,Active,Scottsdale Insurance Company,"$2,000,000",American Contractors Indemnity Company,,"$1,000,000",,60,0,-1.0,13 projects,26 projects,21 projects,,,,,,,5 projects,3 projects,,,,,
44,980653,Active,,,American Contractors Indemnity Company,,,,154,2,5.0,3 projects,18 projects,32 projects,24 projects,,21 projects,,5 projects,,7 projects,8 projects,16 projects,6 projects,1 project,,
45,875130,Active,,,Hudson Insurance Company,,,,92,1,5.0,6 projects,7 projects,27 projects,33 projects,,7 projects,,28 projects,,8 projects,18 projects,9 projects,,2 projects,1 project,
46,983179,Active,,,American Contractors Indemnity Company,,,,640,22,5.0,34 projects,120 projects,110 projects,121 projects,,20 projects,6 projects,49 projects,,51 projects,118 projects,13 projects,4 projects,8 projects,1 project,
47,853547,Active,,,Accredited Surety & Casualty Company Inc,,,,172,0,-1.0,5 projects,6 projects,25 projects,19 projects,,,,7 projects,,4 projects,13 projects,9 projects,1 project,1 project,,
48,1008760,Active,,,American Contractors Indemnity Company,,,,20,11,5.0,6 projects,3 projects,,4 projects,,,,,,2 projects,5 projects,,,,,
49,967768,Active,,,Western Surety Company,,,,192,1,5.0,4 projects,56 projects,31 projects,20 projects,,,,10 projects,,9 projects,5 projects,5 projects,,4 projects,,
50,1047380,Active,,,Wesco Insurance Company,,,,28,19,5.0,,28 projects,,,,,,,,2 projects,5 projects,,,,,
51,1010893,Active,,,Hudson Insurance Company,,,,277,0,-1.0,19 projects,85 projects,61 projects,46 projects,,,,7 projects,,17 projects,37 projects,9 projects,,,,
52,903575,Not Required,,,Suretec Indemnity Company,,,,127,2,5.0,,9 projects,19 projects,53 projects,,3 projects,,,,7 projects,11 projects,6 projects,,3 projects,,
53,1011522,Active,,,,,,,30,7,5.0,1 project,5 projects,11 projects,20 projects,,,,,,8 projects,3 projects,7 projects,,,,
54,935265,Active,,,Suretec Indemnity Company,,,,260,0,-1.0,12 projects,35 projects,18 projects,10 projects,,,7 projects,,,9 projects,6 projects,5 projects,6 projects,1 project,3 projects,1 project
55,1033008,Active,,,American Contractors Indemnity Company,,,,15,10,5.0,3 projects,8 projects,5 projects,,,,,,,1 project,3 projects,1 project,,,,
56,1041599,Active,,,Business Alliance Insurance Company,,,,284,0,-1.0,133 projects,212 projects,8 projects,6 projects,,4 projects,,4 projects,,11 projects,49 projects,16 projects,1 project,,,
57,972213,Active,,,Suretec Indemnity Company,,,,27,0,-1.0,2 projects,18 projects,3 projects,,,,,,,5 projects,6 projects,2 projects,1 project,,,
58,1044125,Active,,,Business Alliance Insurance Company,,,,97,11,5.0,,6 projects,5 projects,9 projects,,,,8 projects,,,6 projects,1 project,,,,
59,852273,Active,,,American Contractors Indemnity Company,,,,895,0,-1.0,21 projects,42 projects,28 projects,70 projects,,21 projects,10 projects,19 projects,,11 projects,40 projects,14 projects,10 projects,2 projects,,
60,992944,Active,,,Western Surety Company,,,,115,0,-1.0,8 projects,5 projects,30 projects,29 projects,,5 projects,,9 projects,,30 projects,8 projects,3 projects,1 project,1 project,,
61,934161,Active,,,State National Insurance Company Inc,,,,118,0,-1.0,12 projects,32 projects,20 projects,8 projects,,8 projects,13 projects,,,9 projects,6 projects,8 projects,4 projects,1 project,8 projects,
62,1000698,Active,,,Western National Mutual Insurance Company,,,,30,1,5.0,1 project,2 projects,16 projects,2 projects,,,,7 projects,,,2 projects,4 projects,2 projects,,,
63,1004106,Active,,,Business Alliance Insurance Company,,,,87,2,5.0,,6 projects,14 projects,29 projects,,,,9 projects,,5 projects,7 projects,1 project,,,,
64,981925,Active,,,Wesco Insurance Company,,,,348,0,-1.0,1 project,19 projects,22 projects,52 projects,,9 projects,11 projects,13 projects,,3 projects,,3 projects,5 projects,4 projects,5 projects,3 projects
65,969954,Active,,,American Contractors Indemnity Company,,,,202,75,5.0,1 project,9 projects,4 projects,7 projects,,,,,,4 projects,2 projects,,,1 project,,
66,1016716,Active,,,Suretec Indemnity Company,,,,50,0,-1.0,4 projects,10 projects,11 projects,20 projects,,5 projects,,9 projects,,5 projects,2 projects,4 projects,,3 projects,2 projects,
