,permit_ID,full_description
0,19016-20000-02431,"CONVERT (E) TWO CAR GARAGE TO (N) RECREATION ROOM. ""COMPLY WITH DEPARTMENT ORDER effective date 12/12/2018. PERMIT WILL EXPIRE 30 DAYS FROM ISSUANCE DATE"""
1,20016-10000-03858,CONVERT A PORTION OF THE (E) BEDROOM TO WALK-IN CLOSET AND ADD MASTER BATH.
2,18016-30000-18915,CONVERT AND REDUCE (E) GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB 494 AND SB 229.
3,20016-10000-05436,CONVERT (E) DINING ROOM TO KITCHEN AND (E) KITCHEN TO BEDROOM. INFILL (E) OPNING IN (E)  INTERIOR WALL. NO STRUCTURAL WORK. ALL WORK PER TYPE V SHEET.
4,15010-30000-01265,New 1-story accessory rec. room with half bathroom.
5,18016-20000-32888,"CONVERT (E) 18'-4""X20' DET. GARAGE TO ADU PER AB 494 AND SB 229"
6,19014-20000-03331,Convert attached garage to accessory dwelling unit with addition of 8' x 12' per AB494 & SB229.  All works are per design.
7,14010-30000-02496,"New 24'10"" X 27'10"" Type VB, One story accessory building, consisting of accessory living quarters over recreation room(at basement level), attached equipment storage room, and roof deck(see comments). Fully sprinklered."
8,19043-10000-01181,NFPA 13D SYSTEM FOR ACCESSORY DWELLING UNIT. CONNECTION TO 1 INCH DOMESTIC WATER METER.
9,19016-20000-03846,CONVERT THE (E) 20'X20' GARAGE INTO A (N) ACCESSORY DWELLING UNITS PER AB 494 AND SB 229 . ALL WORK PER WFPP.
10,18016-70000-29917,CONVERT A PORTION OF EXISTING GARAGE (19' X 22') INTO RECREATION ROOM.
11,19016-10000-00795,PROPOSED REMODEL TO SFD AND CONVERSION OF 2ND STORY INTO ADU (915 SQFT) PER AB-494 AND SB-229
12,19014-20000-02403,"ADD IRR. SHAPE 27'-0""x 41'-0"" & CONVERT GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 & SB 229. WORK PER LA STD WFPP."
13,19010-30000-00080,"NEW 1-STORY, accessory dwlling unit per  ab 494 & sb 229"
14,17014-20000-00648,"23'-2"" X 24'- 8 1/2"" 1- STORY IRR. SHAPE ADDITION TO CONVERT (E) BEDROOM TO A STUDY ROOM AND CREATE A (N) BEDROOM, BATHROOM AND A LAUNDRY ROOM. REMODEL BEDROOM, BATHROOM AND KITCHEN."
15,18010-30000-02113,(N) ADU PER AB494 & SB229 ****only DWP Clearance****
16,17016-10000-31452,Convert existing garage into ADU. 30 sf of garage convert to storage per AB 2299 SB 1069
17,18016-30000-39249,Convert storage area to living room and sleeping area to combine with unit 1 by enclosing existing patio and adding spiral stairs. Create new balconies at 2nd floor by removing wall.
18,16010-20004-03437,Supplemental permit of 16010-20000-03437 to convert building to model home
19,19016-20000-03571,REMOVE 4' X 30' PORTION AND CONVERT 17' X 30' PORTION OF THE (E) THREE CAR GARAGE INTO A (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. WORK PER WFPP.
20,19016-20000-30878,"CONVERT EXISTING 18'3"" X 27'4.5"" GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229."
21,17014-20000-05121,IRREGULAR SHAPE ADDITION & CONVERT PORTION OF (E) SFD INTO ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069. WORK PER ENGINEERING.
22,16014-10000-04958,A NEW  2-STORY  ACCESSORY LIVING QUARTERS
23,19016-30000-17156,convert existing attached 2-car garage into carport
24,19016-20000-16739,CONVERT DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229
25,15016-30000-16982,"convert existing storage to toilet, sink and shower accessory to the permitted pool."
26,16010-10000-04679,"NEW 2-STORY ACCESSORY BUILDING CONSISTING OF 3-CAR GARAGE, RECREATION ROOM, STORAGE ROOM AND ATTACHED PATIO COVER"
27,18016-30000-15552,Convert (e) garage into ADU per AB494 and SB229.
28,19014-20000-00932,ADD 29' x 23' TO AND CONVERT THE EXISTING GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB494 AND SB229. WORK PER WFPP.
29,18014-20000-06183,"CONVERT (E) 18'-2"" X 18'-2"" DETACHED GARAGE AND ADD IRREGULAR 21'-0"" X 28'-0"" FOR (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229"
30,16030-30000-09552,"grading to convert raised foundation to slab on grade, backfill of pool and holding tank"
31,19014-30000-03463,Convert existing Garage to ADU per AB494 and SB229 with new attached trellis.
32,17010-30000-04838,New 2-story ADU per AB 2299 and SB 1069.
33,18043-10000-03002,NFPA 13-D system (designated under  17016-10001-23973) for adu with attached garage. 16 x 16 spacing. 1 inch meter.
34,19016-20000-39908,INTERIOR REMODEL TO CONVERT (2) EXISTING BATHROOMS TO (1) NEW BATHROOM
35,18010-20000-05440,"NEW 1 STORY 36'-6"" X 29' ACCESSORY DWELLING UNIT PER AB 494 & SB 229 ATTACHED TO EXISTING GARAGE"
36,19014-20000-00401,"(N) 23'-6"" x 20'-7"" ACCESSORY DWELLING UNIT ADDITION ABOVE (E) DETACHED GARAGE WITH EXTERIOR STAIRCASE PER AB 494 AND SB 229"
37,13016-30000-16129,MAJOR REMODEL TO (E) ACCESSORY LIVING QUARTERS
38,18010-20000-05586,PROPOSED ACCESSORY DWELLING UNIT PER AB 494 & SB 229.
39,17016-20000-19477,"INTERIOR REMODEL TO CONVERT BEDROOM TO FULL BATHROOM, CONVERT OTHER BEDROOM TO WALK IN CLOSET, CONVERT LIVING ROOM TO BEDROOM/LIVING AREA, REMODEL KITCHEN. REMOVE BEARING WALL AND AND ADD COLUMN. ALL WORK PER ENGINEER."
40,18010-20000-05506,"NEW 40' X 21' 8"" ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. ALL WORK DONE PER WOOD FRAME PRESCRIPTIVE PROVISIONS."
41,19014-20000-01488,"ADD 15'-0"" X 22'-4"" FOR NEW BEDROOM/BATHROOM/CLOSET AND CONVERT (E) BEDROOM TO (N) DINING ROOM, REMODEL THROUGHOUT (E) 1-STORY SFD. ALL WORK PER ENGINEERING."
42,18016-10000-28633,CONVERSION OF (E) REC ROOM TO ACCESSORY DWELLING UNIT per AB 494 and SB 229
43,19016-20000-17596,"CONVERT (E) 19'5"" x 27' LOFT TO BEDROOM NEW WITH 3/4 BATHROOM"
44,18016-10000-00698,"CONVERT EXISTING DETACHED 2-CAR GARAGE TO ADU PER AB2299 & SB 1069 PER WFPP. SCOPE INCLUDE NEW INTERIOR NON BEARING PARTITIONS, NEW BATHROOM AND KITCHEN. WORK DONE PER WOOD FRAME PRESCRIPTIVE"
45,18014-30000-07208,Convert existing attached garage to habitable space.
46,19016-30000-12186,CONVERT (E) 1-STORY TYPE VB DETACHED GARAGE AND STORAGE BUILDING TO ACCESSORY DWELLIG UNIT AND STORAGE BUILDING PER AB 494 & SB 229.
47,19016-20000-23980,"INTERIOR REMODEL TO (E) SINGLE FAMILY DWELLING TO ENCLOSE & CONVERT EXISTING DINING ROOM INTO (1) BEDROOM, REMODEL KITCHEN AND REMOVE & REPLACE (1) WINDOW TO BE ENLARGED. ALL WORK DONE PER STRUCTURAL ENGINEERING."
48,17016-20000-16786,CONVERT (E) ATTACHED GARAGE INTO (N) ACCESSORY DWELLING UNIT (ADU) PER AB 2299 AND SB 1069. ALL WORK IS PER WFPP/CITY DETAILS.
49,17016-70000-25606,REMOVE BEARING WALL AND CONVERT (E) BEDROOM TO DINING ROOM
50,19016-70000-03318,CONVERT (E) ATTACHED GARAGE TO AN ACCESSORY DWELLING UNIT PER AB 494 & SB 229
51,19016-30000-02938,Interior remodel and convert existing storage to 1/2 bath and laundry room. No structural work.
52,19016-30000-03443,CONVERT (E) GARAGE & PORTION OF (E) SINGLE FAMILY DWELLING TO ACCESSORY DWELLING UNIT PER AB 494 & SB 229 PER WFPP.
53,18016-10000-36478,CONVERT PORTION OF (E) SINGLE FAMILY DWELLING INTO ACCESSORY DWELLING UNIT (926SF) PER AB 494 & SB 229.
54,19016-20000-27830,CONVERT ACCESSORY LIVING QUARTER TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229
55,18010-10000-02958,ONE STORY1123.5 SQFT  DETACHED ACCESSORY DWELLING UNIT PER  AB494  AND SB299.
56,19043-20000-03771,"Voluntary NFPA 13D system for ADU with attached garage. 1"" meter."
57,19016-30000-13367,Convert (e) det. garage at rear of the lot to an accessory dwelling unit (ADU) per AB 494 and SB 229.
58,18014-20000-06572,"18'-0"" X 40'-6"" ACCESSORY DWELLING UNIT ADDITION TO (E) SINGLE FAMILY DWELLING PER AB 494 AND SB 229"
59,18016-10000-15082,CONVERT (E) GARAGE TO ACCESSORY DWELLING UNIT PER AB494 AND SB229
60,17014-20000-01895,"CONVERT (E) 20'-2"" X 20'-2"" ATTACHED GARAGE AND ADD 20'-0"" X 20'-2"" FOR NEW FAMILY ROOM, BEDROOM AND MASTER BEDROOM, ADD 18' X 18' 2-CAR CARPORT. ALL WORK PER WFPP AND LA CITY STANDARD DETAILS."
61,19010-30000-00162,(N) ACCESSORY DWELLING UNIT PER AB 494 & SB 229
62,18016-20000-13026,"CONVERT (E) 19'-0"" x 21'-0"" ATTACHED GARAGE INTO (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. ALL WORK PER WFPP"
