,permit_ID,section,date,status,inspector
0,13016-20000-08899,ELECTRICAL-Rough,7/12/2013,Approved,GREG ALLTON
1,13016-20000-08899,PLUMBING-Rough,7/12/2013,Approved,GREG ALLTON
2,13016-20000-08899,Wood Frame,7/12/2013,Approved,GREG ALLTON
3,13016-20000-08899,Final,8/2/2013,Corrections Issued,GOURGEN PETROSSIAN
4,13016-20000-08899,SGSOV-Seismic Gas S/O Valve,8/2/2013,SGSOV Approved,GOURGEN PETROSSIAN
5,13016-20000-08899,Smoke Detectors,8/2/2013,Corrections Issued,GOURGEN PETROSSIAN
6,13016-20000-08899,Final,8/6/2013,Permit Finaled,ROBERT MCDOWELL
7,13016-20000-08899,Smoke Detectors,8/6/2013,Approved,ROBERT MCDOWELL
8,13014-20000-04142,Footing/Foundation/Slab,4/11/2014,Corrections Issued,VINCENT SCIPIONI
9,13014-20000-04142,PLUMBING-Rough,4/11/2014,Partial Approval,VINCENT SCIPIONI
10,13014-20000-04142,Excavation/Setback/Form/Re-Bar,4/14/2014,Corrections Issued,VINCENT SCIPIONI
11,13014-20000-04142,PLUMBING-Rough,4/14/2014,Partial Approval,VINCENT SCIPIONI
12,13014-20000-04142,FLOOD-Elevation Certificate,5/1/2014,Not Ready for Inspection,VINCENT SCIPIONI
13,13014-20000-04142,FLOOD-Proofing Certificate,5/1/2014,Not Ready for Inspection,VINCENT SCIPIONI
14,13014-20000-04142,Footing/Foundation/Slab,5/1/2014,OK to Expire Permit,VINCENT SCIPIONI
15,13014-20000-04142,Floor/Roof Diaphrgm/Shear Wall,7/30/2014,Partial Approval,LEE HELLINGER
16,13014-20000-04142,Final,8/25/2014,Not Ready for Inspection,LEE HELLINGER
17,13014-20000-04142,Floor/Roof Diaphrgm/Shear Wall,8/25/2014,Partial Approval,LEE HELLINGER
18,13014-20000-04142,Footing/Foundation/Slab,8/25/2014,Partial Inspection,LEE HELLINGER
19,13014-20000-04142,Green Building Final,8/25/2014,Not Ready for Inspection,BRYAN MEYER
20,13014-20000-04142,Green Building Rough,8/25/2014,Not Ready for Inspection,BRYAN MEYER
21,13014-20000-04142,SGSOV-Seismic Gas S/O Valve,8/25/2014,SGSOV Not Ready,LEE HELLINGER
22,13014-20000-04142,Smoke Detectors,8/25/2014,Not Ready for Inspection,LEE HELLINGER
23,13014-20000-04142,ELECTRICAL-Rough,11/19/2014,No Access for Inspection,ROBERT WEINANDT
24,13014-20000-04142,ELECTRICAL-Rough,11/26/2014,Approved,LEE HELLINGER
25,13014-20000-04142,PLUMBING-Rough,11/26/2014,Approved,LEE HELLINGER
26,13014-20000-04142,HVAC-Rough,12/9/2014,Approved,LEE HELLINGER
27,13014-20000-04142,Floor/Roof Diaphrgm/Shear Wall,12/10/2014,Approved,LEE HELLINGER
28,13014-20000-04142,Insulation,12/12/2014,Approved,LEE HELLINGER
29,13014-20000-04142,Interior/Exterior Lathing,12/24/2014,Partial Approval,LEE HELLINGER
30,13014-20000-04142,Sewer,2/2/2015,Approved,LEE HELLINGER
31,13014-20000-04142,Gas Test,2/10/2015,Approved,LEE HELLINGER
32,13014-20000-04142,ELECTRICAL-Final,4/21/2015,Corrections Issued,MICHAEL TEMPLE
33,13014-20000-04142,ELECTRICAL-Final,4/24/2015,Not Ready for Inspection,MICHAEL TEMPLE
34,13014-20000-04142,BUILDING-Rough-Frame,6/9/2017,Approved,MICHAEL TEMPLE
35,13014-20000-04142,Final,6/9/2017,Partial Inspection,MICHAEL TEMPLE
36,13014-20000-04142,Footing/Foundation/Slab,6/9/2017,Approved,MICHAEL TEMPLE
37,13014-20000-04142,Green Building Final,6/9/2017,Approved,MICHAEL TEMPLE
38,13014-20000-04142,Green Building Rough,6/9/2017,Approved,MICHAEL TEMPLE
39,13014-20000-04142,SGSOV-Seismic Gas S/O Valve,6/9/2017,SGSOV Approved,MICHAEL TEMPLE
40,13014-20000-04142,Smoke Detectors,6/9/2017,Approved,MICHAEL TEMPLE
41,13014-20000-04142,Final,10/30/2017,Partial Inspection,MICHAEL TEMPLE
42,13014-20000-04142,Final,1/6/2018,OK to Issue CofO,MICHAEL TEMPLE
43,17010-10000-01491,Footing/Foundation/Slab,5/24/2017,Not Ready for Inspection,OSVALDO PARAMO
44,17010-10000-01491,Excavation/Setback/Form/Re-Bar,5/25/2017,Not Ready for Inspection,OSVALDO PARAMO
45,17010-10000-01491,Pre-Inspection,5/26/2017,Approved,OSVALDO PARAMO
46,17010-10000-01491,Pre-Inspection,6/8/2017,Approved,DOMINIC DANERI
47,17010-10000-01491,Rough-Elec/Plmb/HVAC,6/8/2017,Partial Approval,OSVALDO PARAMO
48,17010-10000-01491,Wood Frame,6/8/2017,Not Ready for Inspection,OSVALDO PARAMO
