,permit_ID,full_description
0,17014-30000-01525,Addition and interior remodel for existing SFD. Convert sunroom into bedroom.
1,14014-20000-00331,"Eliminate  one kitchen from one unit  to convert (e) duplex into a sfd to include 3-bedrooms 2-bahtrooms and kitchen,family&dining room.Add 9'9""x17'6 at rear to create a master bedroom w/full bathroom.Replace all windows and enlarge (e) front porch (5'x7')."
2,15014-20000-02411,"CONVERT PROTION OF EXISTING BEDROOM TO 3/4 BATHROOM WITH ADDITION OF  IRREGULAR SHAPE 22'8"" X 17' TO FORM (N) MASTER BEDROOM,  ADD IRREGULAR SHAPE  8'7"" X 14'5"" ON SOUTH SIDE TO EXPAND KITCHEN.  ALL WORKS ARE PER ENGINEERING."
3,14016-10000-11461,INTERIOR ALTERATION TO CONVERT PORTION OF LIVING ROOM TO BEDROOM; CONVERT PORTION OF KITCHEN TO BEDROOM AND ADD NEW BATHROOM; REMOVE AND ADD NON-BEARING WALLS PER WFPP.
4,16010-20001-04452,"SUPPLEMENTAL PERMIT TO REVISE HEIGHT OF PROPOSED 1 STORY ACCESSORY DWELLING UNIT  FROM 17'-4"" TO 19'-9""."
5,13016-70000-14982,"Alteration to existing single family to convert two existing bedrooms into one master bedroom, change out 8 windows, remove unpermitted enclosure at existing porch."
6,14014-10000-05541,"(N) LOWER LEVEL ADDITION 958 SF TO (E) 1-STORY SFD BY CONVERTING PORTION OF (E) CRAWL SPACE INTO 2 BEDROOM, 1 BATH, LAUNDRY AND DEN; AND ADD (N) 2-STORY COVERED DECK AND PATIO IN THE REAR."
7,13014-10000-04909,ADDITION AND ALTERATION TO (E) SFD: CONVERT ATTIC SPACE INTO 3RD FLOOR (22.5' X 18.75'); ENCLOSING (E) BALCONY (4.75' X 9.75') ON UPPER LEVEL AND LOWER LEVEL; (SEE COMMENTS FOR ADDITIONAL SCOPE)
8,17016-20000-06411,"CONVERT EXISTING DETAICHED GARAGE AND ADD 18'9"" X 12'10"" TO (E) GARAGE  FOR  NEW ACCESSORY DWELLING UNIT PER AB2299 AND SB1069."
9,19016-20000-17333,CONVERT (E) MUDROOM TO FULL BATHROOM ON FIRST FLOOR AND CONVERT (E) CLOSET TO FULL BATHROOM ON SECOND FLOOR. ALL WORK PER WFPP.
10,14016-70000-05568,INTERIOR REMODEL FOR EXISTING SINGLE FAMILY DWELLING. CONVERT EXISTING THREE BEDROOMS AND  ONE BATHROOM TO TWO BEDROOMS WITH TWO FULL BATHROOMS. KITCHEN REMODEL.
11,14016-70000-11146,INTERIOR REMDEL TO CONVERT THE FAMILY ROOM INTO MASTER BED ROOM. RELOCATE REAR BATH ROOM. CREATE NEW LAUNDRY. REMODEL KITCHEN AND FRONT BATHROOM.
12,17014-10000-02766,"3'6""x8'0"" addition to existing garage. Convert existing garage to ADU per AB 2299 & SB 1069. See comments."
13,14016-20000-04570,"INTERIOR REMODEL - CONVERT (E) CLOSET TO A NEW BATHROOM;  REMODEL 2 EXISTING BATHROOMS, CHANGE OUT PLUMBING FIXTURES AND CABINETRY;  REPLACE EXISTING BATHROOM WINDOW AND ADD 1 WINDOW TO OTHER BATHROOM."
14,15014-20000-04944,"Convert (E)8' x 24' portion of garage into habitable area.  6' x 10' & 13' x 17' 1st floor addition with deck above.  Infill 19'-6"" x 17' high ceiling area for 2nd floor addition.  Remove (E)12' x 5' portion of 2 story house.  Remodel entire house and replace entire(E)roof."
15,13016-20000-17363,INTERIOR REMODELING AT EXISTING BATHROOM AND CLOSETS TO CONVERT TO 2-BATHROOMS AS PER PLAN NO ADDITIONAL SQFT.  NEW 2X6 CJ PER ENGINEERS DESIGN.
16,17014-30000-02266,Convert existing 2-car garage into Acceassory Dwelling Unit  per AB2299 and SB1069
17,14014-30000-05033,1 story addition to rear of exist 1 story residence; convert existing bedroom into bathroom
