,permit_ID,section,date,status,inspector
0,17014-30000-01525,Floor/Roof Diaphrgm/Shear Wall,6/21/2017,Partial Approval,JOEL WILLIAMS
1,17014-30000-01525,Footing/Foundation/Slab,6/21/2017,Partial Approval,JOEL WILLIAMS
2,17014-30000-01525,METHANE-Barrier,6/21/2017,Approved,JOEL WILLIAMS
3,17014-30000-01525,METHANE-Subgrade,6/21/2017,Approved,JOEL WILLIAMS
4,17014-30000-01525,Underground Mechanical,6/21/2017,Partial Approval,JOEL WILLIAMS
5,17014-30000-01525,Floor/Roof Diaphrgm/Shear Wall,7/3/2017,Partial Approval,JOEL WILLIAMS
6,17014-30000-01525,HVAC-Rough,7/18/2017,Not Ready for Inspection,DANIEL GONZALEZ
7,17014-30000-01525,PLUMBING-Rough,7/18/2017,Corrections Issued,DANIEL GONZALEZ
8,17014-30000-01525,Interior/Exterior Lathing,7/25/2017,Partial Approval,JOEL WILLIAMS
9,17014-30000-01525,Shower Pan,7/25/2017,Approved,JOEL WILLIAMS
10,17014-30000-01525,ELECTRICAL-Rough,7/28/2017,Approved,JOEL WILLIAMS
11,17014-30000-01525,HVAC-Rough,7/28/2017,Approved,JOEL WILLIAMS
12,17014-30000-01525,Interior/Exterior Lathing,7/28/2017,Partial Approval,JOEL WILLIAMS
13,17014-30000-01525,PLUMBING-Rough,7/28/2017,Approved,JOEL WILLIAMS
14,17014-30000-01525,Wood Frame,7/28/2017,Approved,JOEL WILLIAMS
15,17014-30000-01525,Drywall Nailing,8/3/2017,Approved,JOEL WILLIAMS
16,17014-30000-01525,Green Building Rough,8/3/2017,Approved,JOEL WILLIAMS
17,17014-30000-01525,Deputy Drilled-In Anchors,9/20/2017,No Access for Inspection,JOEL WILLIAMS
18,17014-30000-01525,Final,11/27/2017,Not Ready for Inspection,JOEL WILLIAMS
19,17014-30000-01525,BUILDING-Rough-Frame,11/29/2017,Approved,JOEL WILLIAMS
20,17014-30000-01525,Final,11/29/2017,Partial Approval,JOEL WILLIAMS
21,17014-30000-01525,Footing/Foundation/Slab,11/29/2017,Approved,JOEL WILLIAMS
22,17014-30000-01525,Green Building Final,11/29/2017,Approved,JOEL WILLIAMS
23,17014-30000-01525,METHANE-Final,11/29/2017,Approved,JOEL WILLIAMS
24,17014-30000-01525,METHANE-Rough,11/29/2017,Approved,JOEL WILLIAMS
25,17014-30000-01525,SGSOV-Seismic Gas S/O Valve,11/29/2017,SGSOV Approved,JOEL WILLIAMS
26,17014-30000-01525,Smoke Detectors,11/29/2017,Approved,JOEL WILLIAMS
27,17014-30000-01525,Special/Order Compliance,11/29/2017,Approved,JOEL WILLIAMS
28,17014-30000-01525,ELECTRICAL-Final,12/19/2017,Approved,JOEL WILLIAMS
29,17014-30000-01525,Final,12/19/2017,OK to Issue CofO,JOEL WILLIAMS
30,17014-30000-01525,HVAC-Final,12/19/2017,Approved,JOEL WILLIAMS
31,17014-30000-01525,PLUMBING-Final,12/19/2017,Approved,JOEL WILLIAMS
32,14014-20000-00331,Footing/Foundation/Slab,7/1/2014,Corrections Issued,BOB DUNN
33,14014-20000-00331,METHANE-Barrier,7/1/2014,Not Ready for Inspection,BOB DUNN
34,14014-20000-00331,METHANE-Subgrade,7/1/2014,Not Ready for Inspection,BOB DUNN
35,14014-20000-00331,Footing/Foundation/Slab,7/3/2014,Approved,BOB DUNN
36,14014-20000-00331,Piling/Pier/Caisson,7/11/2014,Partial Approval,BOB DUNN
37,14014-20000-00331,Floor/Roof Diaphrgm/Shear Wall,7/29/2014,Partial Approval,BOB DUNN
38,14014-20000-00331,ELECTRICAL-Rough,4/15/2015,Corrections Issued,BOB DUNN
39,14014-20000-00331,PLUMBING-Rough,4/15/2015,Approved,BOB DUNN
40,14014-20000-00331,BUILDING-Rough-Frame,4/27/2015,Partial Approval,RONALD WEBER
41,14014-20000-00331,ELECTRICAL-Rough,4/27/2015,Conditional Approval,RONALD WEBER
42,14014-20000-00331,Green Building Rough,4/27/2015,Partial Approval,RONALD WEBER
43,14014-20000-00331,HVAC-Rough,4/27/2015,Partial Approval,RONALD WEBER
44,14014-20000-00331,ELECTRICAL-Rough,4/28/2015,Approved,VINCENT COTTON
45,14014-20000-00331,HVAC-Rough,4/28/2015,Approved,VINCENT COTTON
46,14014-20000-00331,Light Gage Steel Frame,4/28/2015,Approved,VINCENT COTTON
47,14014-20000-00331,Interior/Exterior Lathing,5/1/2015,Approved,VINCENT COTTON
48,14014-20000-00331,Insulation,5/27/2015,Approved,RONALD WEBER
49,14014-20000-00331,Drywall Nailing,6/2/2015,No Access for Inspection,VINCENT COTTON
50,14014-20000-00331,Green Building Rough,6/2/2015,No Access for Inspection,VINCENT COTTON
51,14014-20000-00331,Drywall Nailing,6/3/2015,Conditional Approval,RONALD WEBER
52,14014-20000-00331,Shower Pan,6/26/2015,Approved,RONALD WEBER
53,14014-20000-00331,Interior/Exterior Lathing,7/13/2015,Approved,BOB DUNN
54,14014-20000-00331,BUILDING-Rough-Frame,9/29/2015,Approved,DAVID HEINE
55,14014-20000-00331,Drywall Nailing,9/29/2015,Approved,DAVID HEINE
56,14014-20000-00331,Final,9/29/2015,Conditional Approval,DAVID HEINE
57,14014-20000-00331,Green Building Final,9/29/2015,Approved,DAVID HEINE
58,14014-20000-00331,Green Building Rough,9/29/2015,Approved,DAVID HEINE
59,14014-20000-00331,SGSOV-Seismic Gas S/O Valve,9/29/2015,SGSOV Approved,DAVID HEINE
60,14014-20000-00331,Smoke Detectors,9/29/2015,Approved,DAVID HEINE
61,14014-20000-00331,Final,10/5/2015,Conditional Approval,RONALD WEBER
62,14014-20000-00331,ELECTRICAL-Final,11/7/2016,Approved,RONALD WEBER
63,14014-20000-00331,Final,11/7/2016,OK to Issue CofO,RONALD WEBER
64,14014-20000-00331,HVAC-Final,11/7/2016,Approved,RONALD WEBER
65,14014-20000-00331,PLUMBING-Final,11/7/2016,Approved,RONALD WEBER
66,15014-20000-02411,Service/Power Release,6/5/2015,Not Ready for Inspection,MICHAEL YOUNG
67,15014-20000-02411,Deputy Drilled-In Anchors,6/10/2015,Partial Approval,MICHAEL YOUNG
68,15014-20000-02411,Footing/Foundation/Slab,6/11/2015,Approved,JOHN KIDWELL
69,15014-20000-02411,BUILDING-Rough-Frame,6/18/2015,Partial Approval,KEVIN BEAULIEU
70,15014-20000-02411,Deputy Drilled-In Anchors,6/18/2015,Conditional Approval,KEVIN BEAULIEU
71,15014-20000-02411,Green Building Rough,6/18/2015,Not Ready for Inspection,KEVIN BEAULIEU
72,15014-20000-02411,Insulation,6/18/2015,Partial Approval,KEVIN BEAULIEU
73,15014-20000-02411,PLUMBING-Rough,7/15/2015,Partial Approval,KEVIN BEAULIEU
74,15014-20000-02411,BUILDING-Rough-Frame,7/17/2015,Partial Approval,KEVIN BEAULIEU
75,15014-20000-02411,ELECTRICAL-Rough,7/17/2015,Partial Approval,KEVIN BEAULIEU
76,15014-20000-02411,Green Building Rough,7/17/2015,Partial Approval,KEVIN BEAULIEU
77,15014-20000-02411,HVAC-Rough,7/17/2015,Partial Approval,KEVIN BEAULIEU
78,15014-20000-02411,BUILDING-Rough-Frame,7/31/2015,Approved,JOHN KIDWELL
79,15014-20000-02411,Green Building Rough,7/31/2015,Approved,JOHN KIDWELL
80,15014-20000-02411,Interior/Exterior Lathing,7/31/2015,Partial Approval,JOHN KIDWELL
81,15014-20000-02411,Insulation,8/3/2015,Approved,KEVIN BEAULIEU
82,15014-20000-02411,Drywall Nailing,8/6/2015,Not Ready for Inspection,KEVIN BEAULIEU
83,15014-20000-02411,PLUMBING-Final,8/7/2015,Not Ready for Inspection,KEVIN BEAULIEU
84,15014-20000-02411,Drywall Nailing,9/21/2015,Approved,BEAU COLLINS
