,License #,Status,Insurer,Insured up to,Bonded Agent,Bonded Value,Workers Comp Value,Workers Comp,numb_permits,numb_revs,rate,2020,2019,2018,2017,2016,Home Additions,New Constructions,Kitchen remodels,Garage Constructions,< $5k,$5k-$20k,$20k-$50k,$50k-$100k,$100k-$250k,$250k-$500k,$500k-$1mil
0,1027193,Active,,,Accredited Surety & Casualty Company Inc,,,,25,0,-1.0,8 projects,9 projects,7 projects,1 project,,,,5 projects,,2 projects,7 projects,1 project,,,,
1,1051965,Active,"ProSource Insurance Services, Inc.","$1,000,000",American contractors indemnity company,,,,,0,-1.0,,,,,,,,,,,,,,,,
2,1003502,Active,,,Wesco Insurance Company,,,,48,1,5.0,1 project,10 projects,12 projects,3 projects,,,,5 projects,,8 projects,,8 projects,,,,
3,999847,Active,,,American Contractors Indemnity Company,,,,147,0,-1.0,,24 projects,37 projects,32 projects,,,,7 projects,,14 projects,11 projects,5 projects,,5 projects,,
4,877007,Active,,,Business Alliance Insurance Company,,,,150,0,-1.0,10 projects,10 projects,33 projects,25 projects,,6 projects,,14 projects,,7 projects,5 projects,10 projects,4 projects,,,
5,830566,Active,Upon Request,"$2,000,000",Wesco Insurance Company,,,,482,18,5.0,4 projects,103 projects,118 projects,44 projects,,18 projects,,15 projects,,28 projects,60 projects,4 projects,2 projects,,,
6,1031107,Active,,,Wesco Insurance Company,,,,32,0,-1.0,3 projects,4 projects,25 projects,,,,,,,20 projects,6 projects,,,,,
7,918700,Inactive,Security National Insurance Co.,"$2,000,000",WESCO INSURANCE COMPANY,,"$1,000,000",,219,5,5.0,,1 project,1 project,45 projects,,,,8 projects,,22 projects,5 projects,,2 projects,,,
8,696896,Active,,,American Contractors Indemnity Company,,,,555,0,-1.0,2 projects,14 projects,42 projects,14 projects,,,,10 projects,,16 projects,8 projects,7 projects,3 projects,12 projects,,
9,848820,Active,,,Business Alliance Insurance Company,,,,1.4K,0,-1.0,,53 projects,73 projects,90 projects,,17 projects,10 projects,26 projects,,14 projects,10 projects,14 projects,9 projects,11 projects,4 projects,
10,1061509,Active,,,Navigators Insurance Company,,,,,3,5.0,5 projects,,,,,,,,,1 project,1 project,,,,,
11,1014406,Active,,,Western Surety Company,,,,16,3,5.0,2 projects,2 projects,9 projects,3 projects,,,,3 projects,,4 projects,5 projects,1 project,,,,
12,955825,Active,State Compensation Insurance Fund,,Wesco Insurance Company,,,,66,0,-1.0,,,3 projects,20 projects,,,,,,,,1 project,,,,
13,995326,Active,,,American Contractors Indemnity Company,,,,125,0,-1.0,1 project,22 projects,11 projects,18 projects,,10 projects,,6 projects,,8 projects,3 projects,5 projects,2 projects,3 projects,,
14,1028034,Active,,,Western Surety Company,,,,15,0,-1.0,,,,,,,,,,,,,,,,
15,834683,Active,,,Western Surety Company,,,,16,1,5.0,,7 projects,3 projects,3 projects,,6 projects,,,,,,1 project,,1 project,4 projects,
16,1053375,Active,Benveniste & Francke Insurance Services,"$2,000,000",Old Republic Surety Company,,,,7,6,5.0,,7 projects,,,,,,,,1 project,,,,,,
17,906540,Active,,,American Contractors Indemnity Company,,,,347,0,-1.0,,37 projects,64 projects,27 projects,,3 projects,,3 projects,,14 projects,9 projects,9 projects,1 project,5 projects,,
18,761179,Active,,,Suretec Indemnity Company,,,,685,0,-1.0,5 projects,16 projects,58 projects,48 projects,,7 projects,,4 projects,,11 projects,7 projects,4 projects,7 projects,14 projects,13 projects,3 projects
19,824921,Active,,,American Contractors Indemnity Company,,,,161,0,-1.0,1 project,17 projects,19 projects,20 projects,,,5 projects,,,8 projects,1 project,2 projects,,2 projects,3 projects,3 projects
